email,bank_routing_number,bank_account_number,balance
planceleyne@lsu.edu,2301-7752-2,73820163,596514
mdobbsox@lsu.edu,2301-7752-2,70021282,526627
shagertylp@lsu.edu,2301-7752-2,92439968,982158
hmarzelord@lsu.edu,2301-7752-2,57684895,173956
ddimeo53@lsu.edu,2301-7752-2,55960998,520784
cshearafa@lsu.edu,2301-7752-2,35156493,964341
jflegha@lsu.edu,2301-7752-2,90869412,989841
vblackford7w@lsu.edu,2301-7752-2,39774763,824427
mcapron7d@lsu.edu,2301-7752-2,10767644,941309
bmaasze6z@lsu.edu,2301-7752-2,80251228,484328
lcastellacciofw@lsu.edu,2301-7752-2,43038287,641137
smarielleq2@lsu.edu,2301-7752-2,24013168,202200
sshewry3e@lsu.edu,2301-7752-2,23521210,221537
igaskinpn@lsu.edu,2301-7752-2,64792518,907259
mbaxilley@lsu.edu,2301-7752-2,37548809,248595
mwhitbyqo@lsu.edu,2301-7752-2,65461665,588842
abromilowf6@lsu.edu,2301-7752-2,12501418,967479
htoffaninikm@lsu.edu,2301-7752-2,27413070,220706
segglesonmy@lsu.edu,2301-7752-2,97899608,340030
pwhithamo3@lsu.edu,2301-7752-2,73296930,443562
vsteers27@seesaa.net,2301-7752-2,90577638,742596
mmacginlaydj@lsu.edu,2301-7752-2,95510197,134177
ivittetob@lsu.edu,3108-1147-0,48200670,595891
sseifenmacherhz@lsu.edu,3108-1147-0,71989270,252674
bsibyllaqj@lsu.edu,3108-1147-0,61886973,483127
epeirpoint9z@lsu.edu,3108-1147-0,94964718,312465
qdockseyk4@lsu.edu,3108-1147-0,42529490,990958
kredwooda6@lsu.edu,3108-1147-0,61070698,911286
tmartenpa@lsu.edu,3108-1147-0,64500349,307892
bollerhead6v@lsu.edu,3108-1147-0,66912520,319536
tbeggsrf@lsu.edu,3108-1147-0,21485428,813081
dforestallkz@lsu.edu,3108-1147-0,89266099,182210
achatellq@lsu.edu,3108-1147-0,44665286,400556
hfollitmu@lsu.edu,3108-1147-0,36266077,766824
bdimondih@lsu.edu,3108-1147-0,74632886,17575
rweipperti4@lsu.edu,3108-1147-0,66775973,867833
tgrigorips@lsu.edu,3108-1147-0,42750799,638575
paltimas97@lsu.edu,3108-1147-0,87968421,608441
dsquelch3t@lsu.edu,3108-1147-0,52271787,779175
jcurstonor@lsu.edu,3108-1147-0,49807915,742784
lsprayio@lsu.edu,3108-1147-0,42659246,737816
rsennettph@lsu.edu,3108-1147-0,83189461,424500
cantonacci6p@lsu.edu,3108-1147-0,16857232,622961
jsizzeypp@lsu.edu,3108-1147-0,50788330,607052
jsagg5p@lsu.edu,3108-1147-0,78097126,179981
baccumgg@lsu.edu,3108-1147-0,28983442,294282
aridolfofl@lsu.edu,3108-1147-0,20122563,501263
olief52@lsu.edu,3108-1147-0,27776419,326748
lpoltunr5@lsu.edu,3108-1147-0,34776743,641556
daddams9d@lsu.edu,3108-1147-0,25545173,318250
jpietroni3i@lsu.edu,3108-1147-0,52853627,570807
crontree9q@lsu.edu,3108-1147-0,25716512,323082
aepgraveau@lsu.edu,3108-1147-0,76694581,105096
swrenn2e@rakuten.co.jp,3108-1147-0,25822299,166351
ddolegh@lsu.edu,3108-1147-0,22875816,480641
mriddler55@lsu.edu,3108-1147-0,46367312,19453
mtupperiv@lsu.edu,3108-1147-0,23051273,584332
pfarronc6@lsu.edu,3108-1147-0,40967017,925735
rwhickmanc8@lsu.edu,3108-1147-0,77566857,847480
nconsidinegv@lsu.edu,3108-1147-0,77694154,940413
mcremincr@lsu.edu,3108-1147-0,85214138,687809
mnewardnp@lsu.edu,3108-1147-0,98676694,191852
cklyner56@lsu.edu,3108-1147-0,63735916,65646
esavaageho@lsu.edu,3108-1147-0,20728717,836528
rburgiseqc@lsu.edu,3108-1147-0,90672101,157199
aduigenan6@alibaba.com,3108-1147-0,54515103,809900
rfriary2d@phoca.cz,3108-1147-0,35464282,372177
tsellandn2@lsu.edu,3108-1147-0,28918453,175661
tevangelinos4b@lsu.edu,3108-1147-0,90142148,913073
agoodselld8@lsu.edu,3108-1147-0,60434570,129323
agoly4g@lsu.edu,3108-1147-0,92496655,447122
tcooksleyhl@lsu.edu,3108-1147-0,39192710,562545
sgudemanb8@lsu.edu,3108-1147-0,36531858,704478
rstanelandj2@lsu.edu,3108-1147-0,50945070,434370
ovillafi@lsu.edu,3108-1147-0,51739653,370959
stice87@lsu.edu,3108-1147-0,14819105,696096
lbuttrickpr@lsu.edu,3108-1147-0,13367127,72607
mkempton8e@lsu.edu,3108-1147-0,93472974,9576
rkorneev47@lsu.edu,3108-1147-0,24457470,581509
aiacovuzzil1@lsu.edu,3108-1147-0,53127657,9996
mgudeman44@lsu.edu,3108-1147-0,49300424,616557
sbouzek39@lsu.edu,3108-1147-0,15134974,159665
acastelliji@lsu.edu,3108-1147-0,78725521,585123
wpougherdo@lsu.edu,3108-1147-0,15473496,714258
gshepherdson8k@lsu.edu,3108-1147-0,24091553,917973
ehuychem4@lsu.edu,3108-1147-0,87726360,959319
rrobuchonhr@lsu.edu,3108-1147-0,66665351,237074
lhouldcroftb7@lsu.edu,3108-1147-0,50148233,982288
lcrebbingm@lsu.edu,3108-1147-0,73380591,630326
eangelod3@lsu.edu,3108-1147-0,96416630,393005
tdriffield77@lsu.edu,3108-1147-0,32877241,573077
tmcinultyqh@lsu.edu,3108-1147-0,11945565,858025
rraweso7@lsu.edu,3108-1147-0,84982968,239937
tbrightey72@lsu.edu,3108-1147-0,32811254,150764
lgilcriest17@mapy.cz,3108-1147-0,54549242,984438
iswyera0@lsu.edu,3108-1147-0,20249505,952221
bottewella2@lsu.edu,3108-1147-0,23028697,484484
cvardie6y@lsu.edu,3108-1147-0,65408782,378309
ielecumku@lsu.edu,3108-1147-0,74153021,449327
ddoustff@lsu.edu,3108-1147-0,19718283,737148
mnewmanhy@lsu.edu,3108-1147-0,76553353,899183
rtattershallf3@lsu.edu,3108-1147-0,57540750,640404
fmcall42@lsu.edu,3108-1147-0,53314940,748012
skeohanec2@lsu.edu,3108-1147-0,56922397,658112
jjiracekqy@lsu.edu,3108-1147-0,77594086,619296
splewsj8@lsu.edu,3108-1147-0,43860605,222139
jbrechinoz@lsu.edu,3108-1147-0,22378483,900557
kstuke9u@lsu.edu,3108-1147-0,94354424,791806
ltumaas@lsu.edu,3108-1147-0,13146056,821268
ccellier31@lsu.edu,3108-1147-0,79211178,598915
bleversonmq@lsu.edu,3108-1147-0,24663460,816589
rpickfordir@lsu.edu,3108-1147-0,46323837,664588
garmer59@lsu.edu,3108-1147-0,94430155,902404
hbowdon9a@lsu.edu,3108-1147-0,65719438,212482
oyarkeriz@lsu.edu,3108-1147-0,11180980,919562
ebogace2p@ibm.com,3108-1147-0,46629491,225368
btwaitsb4@lsu.edu,3108-1147-0,16574081,578163
rcottesfordnl@lsu.edu,3108-1147-0,98912766,929081
wdelongcw@lsu.edu,3108-1147-0,47844531,30609
gscoynefn@lsu.edu,3108-1147-0,43111128,313352
fmcaviyjz@lsu.edu,3108-1147-0,88248673,373287
ksappellom@lsu.edu,3108-1147-0,55768436,55594
rmcwhin4i@lsu.edu,3863-4156-5,21649119,548754
espincksd@wunderground.com,3863-4156-5,14285085,560944
glennonqx@lsu.edu,3863-4156-5,93339985,453542
cchatteris1r@usgs.gov,3863-4156-5,23493685,738522
dcaserijl@lsu.edu,3863-4156-5,75735219,858538
cheersl5@lsu.edu,3863-4156-5,37407410,837259
abaloghm7@lsu.edu,3863-4156-5,48634695,581605
rdelmontig2@lsu.edu,3863-4156-5,19601651,554336
lkennac5@lsu.edu,3863-4156-5,44742823,128602
kcallinan29@ftc.gov,3863-4156-5,17871411,999865
atythacott4a@lsu.edu,3863-4156-5,28355368,518373
pbartomeu7b@lsu.edu,3863-4156-5,92703325,576188
obuddelljn@lsu.edu,3863-4156-5,51277911,123559
mreeves46@lsu.edu,3863-4156-5,42929331,270804
rswanbournemn@lsu.edu,3863-4156-5,35043002,891533
cmcelhargyg0@lsu.edu,3863-4156-5,19491976,505547
tgeffenp7@lsu.edu,3863-4156-5,50291720,308434
scorleyis@lsu.edu,3863-4156-5,55673806,46653
womara8l@lsu.edu,3863-4156-5,41938061,235186
tmanus40@lsu.edu,3863-4156-5,13350649,10948
hmaleac@lsu.edu,3863-4156-5,10218436,79915
gkubesbn@lsu.edu,3863-4156-5,78549727,244948
toseland4q@lsu.edu,3863-4156-5,75756125,996822
myork4u@lsu.edu,3863-4156-5,30327450,277769
llangangx@lsu.edu,3863-4156-5,37071882,852860
bbywaters2y@lsu.edu,3863-4156-5,79916820,833925
dkildead0@lsu.edu,3863-4156-5,86138195,583418
gbrocktond6@lsu.edu,3863-4156-5,67078131,500733
mnardif4@lsu.edu,3863-4156-5,74781351,849809
bgianottigl@lsu.edu,3863-4156-5,37864841,918467
mnieldrn@lsu.edu,3863-4156-5,17631498,770131
csichardteo@lsu.edu,3863-4156-5,90466043,169355
ckingswoodqb@lsu.edu,3863-4156-5,21901083,277058
twhimpej@lsu.edu,3863-4156-5,14048870,991336
deliasson7f@lsu.edu,3863-4156-5,33674134,514951
ssextonekt@lsu.edu,3863-4156-5,28053041,541325
kpatrono1o@eepurl.com,3863-4156-5,69111629,515817
rgontiernv@lsu.edu,3863-4156-5,18575819,597561
pnetley4n@lsu.edu,3863-4156-5,77816876,961375
mgoatman9m@lsu.edu,3863-4156-5,13478939,147239
vwyse61@lsu.edu,3863-4156-5,79071955,818423
nkubul9@lsu.edu,3863-4156-5,87043641,739584
rpittmanq6@lsu.edu,3863-4156-5,29912459,152683
jproppersbt@lsu.edu,3863-4156-5,42772278,849217
tivesia@lsu.edu,3863-4156-5,85307763,566444
sodriscolln5@lsu.edu,3863-4156-5,52300755,429031
ploxdaleeg@lsu.edu,3863-4156-5,25772621,616036
kbouzek4d@lsu.edu,3863-4156-5,49529256,330594
avasentsovf8@lsu.edu,3863-4156-5,79811321,762010
hglasscockj6@lsu.edu,3863-4156-5,71133494,430823
spolglaseo@amazon.co.uk,3863-4156-5,59446724,269291
mstapele34@lsu.edu,3863-4156-5,85821397,931324
llerenc@lsu.edu,3863-4156-5,28024291,361333
bstanifordr2@lsu.edu,3863-4156-5,80853864,908558
msalvatore3m@lsu.edu,3863-4156-5,33846143,558594
vfuenteslr@lsu.edu,3863-4156-5,19725355,635787
deddowdn@lsu.edu,3863-4156-5,35410145,83800
gspringettim@lsu.edu,3863-4156-5,39575232,632951
bsearston6w@lsu.edu,3863-4156-5,54207317,640308
mdrache3p@lsu.edu,3863-4156-5,88322447,640611
nlawb2@lsu.edu,3863-4156-5,30173907,768410
lkleinercy@lsu.edu,3863-4156-5,20152434,296846
dknottlx@lsu.edu,3863-4156-5,96401314,647016
sshropsheir6j@lsu.edu,3863-4156-5,62787054,684006
aferencowicznt@lsu.edu,3863-4156-5,78165229,944886
lkopeciu@lsu.edu,3863-4156-5,74591555,979988
rbastonemx@lsu.edu,3863-4156-5,38756510,458779
nshemelthc@lsu.edu,3863-4156-5,40705599,827291
tthewysu@php.net,3863-4156-5,69040236,99874
fnisslekb@lsu.edu,3863-4156-5,87285183,461679
ssemarkd4@lsu.edu,3863-4156-5,80649982,745847
eferandezks@lsu.edu,3863-4156-5,58031328,252954
mbabonau82@lsu.edu,3863-4156-5,98244591,898404
mmeo22@goo.gl,3863-4156-5,14652728,847474
ffarrallh0@lsu.edu,3863-4156-5,74683374,188201
mbromagef5@lsu.edu,3863-4156-5,41121355,522520
sabraminkf@lsu.edu,3863-4156-5,49004350,614073
jomarag3@lsu.edu,3863-4156-5,69162369,155633
sakkerqn@lsu.edu,3863-4156-5,39728572,48548
rpabloslc@lsu.edu,3863-4156-5,80653996,269211
kwolffersd5@lsu.edu,3863-4156-5,99943501,579703
matyeo1@vk.com,3863-4156-5,45559458,52250
spapez8g@lsu.edu,3863-4156-5,20154535,42352
bsimonssonp6@lsu.edu,3863-4156-5,46499168,15154
estanerfh@lsu.edu,3863-4156-5,95655144,437563
htaylor74@lsu.edu,3863-4156-5,67673606,1726
astitte7@lsu.edu,3863-4156-5,19917226,628785
fwinchester4@purevolume.com,3863-4156-5,63675529,807850
lbarokbv@lsu.edu,3863-4156-5,73741101,560851
jvakhlovrk@lsu.edu,3863-4156-5,54788095,438952
nmcgraydz@lsu.edu,3863-4156-5,21843016,556583
cstrangewaysos@lsu.edu,3863-4156-5,62595336,9824
smennelll@globo.com,3863-4156-5,24676864,50477
erosenbloome5@lsu.edu,3863-4156-5,89377590,245420
prumboldjs@lsu.edu,3863-4156-5,66908618,848275
ykopec5o@lsu.edu,3863-4156-5,12976622,209173
aalbers7g@lsu.edu,3863-4156-5,72876262,208176
brussanmm@lsu.edu,3863-4156-5,28584244,714440
ablood8y@lsu.edu,3863-4156-5,63569272,589985
ebradderlw@lsu.edu,3863-4156-5,83858084,689314
hbuckel1g@amazon.co.jp,6733-9697-2,10790224,12400
tbaynesl0@lsu.edu,6733-9697-2,97832282,464805
bgiddensqq@lsu.edu,6733-9697-2,53815438,980623
bleadstonaw@lsu.edu,6733-9697-2,29877109,666879
hheatlie5m@lsu.edu,6733-9697-2,81839329,90310
bquarlesaj@lsu.edu,6733-9697-2,65789253,494760
jcraythorne6h@lsu.edu,6733-9697-2,62388621,341191
vblancaf@lsu.edu,6733-9697-2,38085411,779186
cdomneyjw@lsu.edu,6733-9697-2,71739767,421826
tmountneyls@lsu.edu,6733-9697-2,71172513,59294
ncolenutt8r@lsu.edu,6733-9697-2,30387197,660355
sbrufff2@lsu.edu,6733-9697-2,13814078,731009
kyabsleyln@lsu.edu,6733-9697-2,48807278,680105
cguisotck@lsu.edu,6733-9697-2,37108163,239261
dgilmorebw@lsu.edu,6733-9697-2,91553001,142549
ltrippie@lsu.edu,6733-9697-2,97074649,619524
rblaaschp1@lsu.edu,6733-9697-2,89725604,346550
anassau4p@lsu.edu,6733-9697-2,57228230,745819
pgresham9x@lsu.edu,6733-9697-2,62062020,772742
aadriaens1e@psu.edu,6733-9697-2,45435355,138753
kbartolacci3s@lsu.edu,6733-9697-2,71149588,958790
ebaudyfv@lsu.edu,6733-9697-2,37922519,742079
dgrogona33@lsu.edu,6733-9697-2,36503557,406518
bsheildsep@lsu.edu,6733-9697-2,16841397,427864
jalbuttq8@lsu.edu,6733-9697-2,75646715,778441
gfahyb3@lsu.edu,6733-9697-2,62116267,26936
aanthilli2@lsu.edu,6733-9697-2,13304820,941222
rmaccagueds@lsu.edu,6733-9697-2,12713882,186390
sshillama1@lsu.edu,6733-9697-2,99066078,534854
nromagnosikx@lsu.edu,6733-9697-2,85093215,179233
cmansellbo@lsu.edu,6733-9697-2,41840301,476591
lcardenaskp@lsu.edu,6733-9697-2,31903580,473343
drosemang8@lsu.edu,6733-9697-2,68428061,7186
iholdall8o@lsu.edu,6733-9697-2,62679280,486888
cgabbatt8a@lsu.edu,6733-9697-2,39697128,121209
gmcrillq7@lsu.edu,6733-9697-2,46301212,625160
vbaxandall1t@ustream.tv,6733-9697-2,72194081,6305
gbengtssoncq@lsu.edu,6733-9697-2,76505685,622677
rdrif7@lsu.edu,6733-9697-2,85224935,716223
lhandleymr@lsu.edu,6733-9697-2,21476495,417879
svillaretoe@lsu.edu,6733-9697-2,46236347,360462
tjaqueshi@lsu.edu,6733-9697-2,91700735,917363
areenex@lsu.edu,6733-9697-2,40234787,10524
swethersdh@lsu.edu,6733-9697-2,89027281,487444
dnaughtonmz@lsu.edu,6733-9697-2,40915582,684569
clucianip@lsu.edu,6733-9697-2,73685502,274147
gpartrick8x@lsu.edu,6733-9697-2,98692227,762270
clynaghmp@lsu.edu,6733-9697-2,53457403,24244
mhalcrorr@lsu.edu,6733-9697-2,24823912,175622
dbaldoni1s@bloglovin.com,6733-9697-2,46139530,298207
khounihann1@lsu.edu,6733-9697-2,94105120,543055
agligoracibq@lsu.edu,6733-9697-2,12644423,451886
fsanthousedb@lsu.edu,6733-9697-2,10186438,995820
agiddense3@lsu.edu,6733-9697-2,49373870,814525
bsauternq@lsu.edu,6733-9697-2,89601285,275648
ggrigoli1k@webmd.com,6733-9697-2,95153313,717350
rmacgilmartinat@lsu.edu,6733-9697-2,64423137,671211
jblackbournmv@lsu.edu,6733-9697-2,62681815,950118
mkellieem@lsu.edu,6733-9697-2,61567115,980830
ahaxellil@lsu.edu,6733-9697-2,38143024,973096
rstorrock1b@drupal.org,6733-9697-2,39267087,494741
tpearman9y@lsu.edu,6733-9697-2,79926052,717475
fewbanks5i@lsu.edu,6733-9697-2,74269510,908111
phansard9g@lsu.edu,6733-9697-2,62051655,603503
jmoormanm8@lsu.edu,6733-9697-2,29915545,186972
bbrigge6o@lsu.edu,6733-9697-2,66809150,880386
ljeaffersonfr@lsu.edu,6733-9697-2,44881908,47656
jlongshawgb@lsu.edu,6733-9697-2,69851826,904251
cbengerkd@lsu.edu,6733-9697-2,68492128,473983
egillmanlt@lsu.edu,6733-9697-2,69969030,100713
awanstall3l@lsu.edu,6733-9697-2,52614256,250092
sloughtonkq@lsu.edu,6733-9697-2,74694582,866309
kalexandrescu5@mysql.com,6733-9697-2,45457301,473801
melstoneik@lsu.edu,6733-9697-2,62976175,84904
omullanek2@lsu.edu,6733-9697-2,35353058,542565
jzukermanoo@lsu.edu,6733-9697-2,81505996,292553
cvarleym0@lsu.edu,6733-9697-2,19009319,105409
ksmidmoor7e@lsu.edu,6733-9697-2,76477169,582118
abockeec@lsu.edu,6733-9697-2,66786705,910776
belleringtonmf@lsu.edu,6733-9697-2,43224675,177814
aromanettiju@lsu.edu,6733-9697-2,19947925,365479
ktristramak@lsu.edu,6733-9697-2,37364832,955554
rsirrellj7@lsu.edu,6733-9697-2,57840597,428702
cwanden2i@mayoclinic.com,6733-9697-2,33821934,357779
lspreadbury75@lsu.edu,6733-9697-2,57219781,142634
rroydsft@lsu.edu,6733-9697-2,98588158,903110
mphillpsk8@lsu.edu,6733-9697-2,17030505,880735
fcorcoran7v@lsu.edu,6733-9697-2,76555463,823936
jmaile26@unesco.org,6733-9697-2,56698477,569797
mmaccumeskey23@timesonline.co.uk,6733-9697-2,31340223,394422
mandraultbz@lsu.edu,6733-9697-2,87584746,31553
mufflh@lsu.edu,6733-9697-2,99006039,323896
ktarboxpb@lsu.edu,6733-9697-2,84985081,994575
arichardssonde@lsu.edu,6733-9697-2,93977313,482938
apaulsenib@lsu.edu,6733-9697-2,68888437,704154
ashutt3r@lsu.edu,6733-9697-2,69311681,61644
kpatullogj@lsu.edu,6733-9697-2,82879332,967060
twhiteareq@lsu.edu,6733-9697-2,68220644,94936
dofiellyd7@lsu.edu,6733-9697-2,46930545,832963
wvaadelandby@lsu.edu,6733-9697-2,72452220,198222
ljoannic3f@lsu.edu,7601-9951-1,87860713,92876
rshaveld9@lsu.edu,7601-9951-1,94573642,848427
lforgeg6@lsu.edu,7601-9951-1,94588729,73727
icabbell32@lsu.edu,7601-9951-1,28419896,620693
jbarnacloughl2@lsu.edu,7601-9951-1,65014012,303679
lmuffetti0@lsu.edu,7601-9951-1,57432977,611763
fkearypt@lsu.edu,7601-9951-1,71326417,309165
dcapnerk5@lsu.edu,7601-9951-1,86900399,967109
bvanichkov6k@lsu.edu,7601-9951-1,81935757,10270
uchalfantlk@lsu.edu,7601-9951-1,66038226,622530
scrowdenht@lsu.edu,7601-9951-1,37591548,718910
cvasichev3q@lsu.edu,7601-9951-1,57221241,890895
smedcalfmg@lsu.edu,7601-9951-1,50793007,8504
mrigmondek@lsu.edu,7601-9951-1,22588958,354439
kstretepe@lsu.edu,7601-9951-1,14477855,367215
areaperj0@lsu.edu,7601-9951-1,70514330,262799
chazeldeankg@lsu.edu,7601-9951-1,94385010,380422
hbeldoniy@lsu.edu,7601-9951-1,52330604,754382
cbraidwoodav@lsu.edu,7601-9951-1,26302896,226773
lludlamme1x@tinypic.com,7601-9951-1,28128820,819779
klongfortho6@lsu.edu,7601-9951-1,39553683,568242
peddicott9v@lsu.edu,7601-9951-1,19958698,174521
tbladendv@lsu.edu,7601-9951-1,26883189,694964
madamkiewicz1n@wikipedia.org,7601-9951-1,64920437,176307
esarlebc@lsu.edu,7601-9951-1,29985167,706209
ezoppie1f@dyndns.org,7601-9951-1,30421839,744467
mlennardekn@lsu.edu,7601-9951-1,70847921,166505
tlewishamn6@lsu.edu,7601-9951-1,43325713,237075
bgrund94@lsu.edu,7601-9951-1,71370345,739984
fmckiedg@lsu.edu,7601-9951-1,56026273,439939
mgeorgi5b@lsu.edu,7601-9951-1,87053615,783788
ncurromcm@lsu.edu,7601-9951-1,24665446,978368
qalexsandrovichcg@lsu.edu,7601-9951-1,91628907,213361
ggoveyjj@lsu.edu,7601-9951-1,99440390,704926
tfoan98@lsu.edu,7601-9951-1,96436177,973012
freiglara5@lsu.edu,7601-9951-1,10637416,354594
kgedney5c@lsu.edu,7601-9951-1,45449487,512588
kbradderce@lsu.edu,7601-9951-1,98873773,466899
kikinsky@lsu.edu,7601-9951-1,63603254,567549
tinch4k@lsu.edu,7601-9951-1,63670847,497296
fjansonjr@lsu.edu,7601-9951-1,26038983,370519
clangsburyab@lsu.edu,7601-9951-1,76996126,644117
wcradydq@lsu.edu,7601-9951-1,41863693,961334
tgeydon2m@geocities.com,7601-9951-1,94236810,303862
bnisena7@lsu.edu,7601-9951-1,75382828,752180
ktreacherj4@lsu.edu,7601-9951-1,92331959,542953
dmccallion9t@lsu.edu,7601-9951-1,29705118,524265
htreadgall67@lsu.edu,7601-9951-1,98646346,561847
gbachnic5n@lsu.edu,7601-9951-1,56101853,281718
rwoodfordnd@lsu.edu,7601-9951-1,35923127,283977
dshille8@lsu.edu,7601-9951-1,65081235,823085
bobraymj@lsu.edu,7601-9951-1,48135509,412865
vizaac3w@lsu.edu,7601-9951-1,83792880,946424
awhiskerd2s@lsu.edu,7601-9951-1,70972482,756667
lsteptowaq@lsu.edu,7601-9951-1,60693269,435034
gdruce2z@lsu.edu,7601-9951-1,50552734,136461
tcarnegie2q@ucoz.ru,7601-9951-1,53709483,851091
wbrierly85@lsu.edu,7601-9951-1,53751643,866531
eitscowicz7m@lsu.edu,7601-9951-1,77163026,87523
akibbeequ@lsu.edu,7601-9951-1,20083744,368449
cswitlandcn@lsu.edu,7601-9951-1,34962707,890492
lclawe8h@lsu.edu,7601-9951-1,16024732,707198
landrysek5f@lsu.edu,7601-9951-1,69743005,216948
gbasiloneo4@lsu.edu,7601-9951-1,20329258,756271
fgomer8i@lsu.edu,7601-9951-1,70249530,119700
akordtgw@lsu.edu,7601-9951-1,82156173,817011
vlardnarkr@lsu.edu,7601-9951-1,46681603,799462
rstewartsonnb@lsu.edu,7601-9951-1,58871775,278014
fsimmiga9@lsu.edu,7601-9951-1,82776379,317439
ipykeoq@lsu.edu,7601-9951-1,96568527,351621
lundrill4y@lsu.edu,7601-9951-1,42205110,121782
edumberellfd@lsu.edu,7601-9951-1,85600773,996025
escullyfe@lsu.edu,7601-9951-1,11510830,671766
cfrenschc9@lsu.edu,7601-9951-1,15599441,236870
fdalstonbd@lsu.edu,7601-9951-1,57535226,140224
bdurringtonp2@lsu.edu,7601-9951-1,82484671,713923
cspradbery9c@lsu.edu,7601-9951-1,55052487,281148
bgori88@lsu.edu,7601-9951-1,38274957,311663
wquilleashhx@lsu.edu,7601-9951-1,17408500,575393
sgerrancz@lsu.edu,7601-9951-1,75705990,435196
sgoomesm6@lsu.edu,7601-9951-1,80988251,542869
gpantridgebr@lsu.edu,7601-9951-1,14291658,384606
imoorfieldkh@lsu.edu,7601-9951-1,58663423,62411
ghandsoy@lsu.edu,7601-9951-1,76981216,812120
rwarlowga@lsu.edu,7601-9951-1,18591704,831647
isharram21@blog.com,7601-9951-1,17996982,87189
wandreolettify@lsu.edu,7601-9951-1,76122594,292389
kdreakinmb@lsu.edu,7601-9951-1,16449779,766384
jjakellj@lsu.edu,7601-9951-1,33963661,762934
tfosseyan@lsu.edu,7601-9951-1,66550239,259953
tfoxenjc@lsu.edu,7601-9951-1,13329637,648750
chardenn8@lsu.edu,7601-9951-1,44842740,483176
cbattellcs@lsu.edu,7601-9951-1,47071289,257833
egaynsfordbe@lsu.edu,7601-9951-1,17679188,832226
dwimmersq4@lsu.edu,7601-9951-1,15221445,147458
crichardtov@lsu.edu,7601-9951-1,31858586,420324
amarzelli3@purevolume.com,7601-9951-1,54428760,156407
sgeratasch3x@lsu.edu,7601-9951-1,61037512,228790
mclynterrc@lsu.edu,7601-9951-1,77557201,340042
sledes1j@icq.com,7601-9951-1,97242925,689708
mpfiffer1c@about.me,8228-7496-1,77530691,284060
alaysondi@lsu.edu,8228-7496-1,26598740,562582
vgreatorex3z@lsu.edu,8228-7496-1,73365423,658168
dmclachlanbi@lsu.edu,8228-7496-1,11206323,841759
bhearnshawfj@lsu.edu,8228-7496-1,12817652,581493
rceschiniml@lsu.edu,8228-7496-1,46777789,78575
lblanninoj@lsu.edu,8228-7496-1,60695665,529869
mjohnstonev@posterous.com,8228-7496-1,66917706,733539
wpautard19@hugedomains.com,8228-7496-1,33331699,330331
bgladbeckeu@lsu.edu,8228-7496-1,21845221,625585
tprosekc4@lsu.edu,8228-7496-1,24540279,419553
ksnoddy38@lsu.edu,8228-7496-1,44575991,870537
qsearl2f@trellian.com,8228-7496-1,17834112,281527
clochet6i@lsu.edu,8228-7496-1,63518065,148814
hpiepera3@lsu.edu,8228-7496-1,63532600,883366
asherr5l@lsu.edu,8228-7496-1,42993081,27043
olenox5j@lsu.edu,8228-7496-1,27523242,851862
kmoulsdallkk@lsu.edu,8228-7496-1,65826771,786978
eamott90@lsu.edu,8228-7496-1,52109995,865279
frosiellokj@lsu.edu,8228-7496-1,97407413,315286
tmacgilfoyled2@lsu.edu,8228-7496-1,32619295,211976
amcpartlin2w@lsu.edu,8228-7496-1,94693227,463122
amoggan70@lsu.edu,8228-7496-1,84889761,999634
adurandb1@lsu.edu,8228-7496-1,99705632,917685
heastcott3o@lsu.edu,8228-7496-1,37461854,515246
rmessham4m@lsu.edu,8228-7496-1,67243961,381080
dtellwrightcv@lsu.edu,8228-7496-1,59640497,605914
rstogillcl@lsu.edu,8228-7496-1,73363513,384778
aferedayoi@lsu.edu,8228-7496-1,13430070,788613
ilamminll@lsu.edu,8228-7496-1,52472448,107764
uogelbekv@lsu.edu,8228-7496-1,22132898,844785
hsanbrookh9@lsu.edu,8228-7496-1,58126537,546907
mlowdyanejb@lsu.edu,8228-7496-1,38282409,12295
dsaltsberger14@wunderground.com,8228-7496-1,23844440,931406
ajeffs51@lsu.edu,8228-7496-1,18576987,108805
ssimmondsbl@lsu.edu,8228-7496-1,80344359,381082
sperullinw@lsu.edu,8228-7496-1,22581223,994955
ajillinslm@lsu.edu,8228-7496-1,63352983,510744
abrandoneb6@lsu.edu,8228-7496-1,68140719,499181
emasurelge@lsu.edu,8228-7496-1,35545153,393210
zcallis3n@lsu.edu,8228-7496-1,16814319,312225
ainglissc@github.com,8228-7496-1,14012072,819188
cbeetonje@lsu.edu,8228-7496-1,10073688,151590
avanderweedenburget@lsu.edu,8228-7496-1,88594633,472853
tberesfordp4@lsu.edu,8228-7496-1,16733147,860500
jpairemanq1@lsu.edu,8228-7496-1,21666295,736226
hjedras68@lsu.edu,8228-7496-1,79980458,523590
tbice4s@lsu.edu,8228-7496-1,69342347,777818
bgiannazzigf@lsu.edu,8228-7496-1,43552885,274106
shanneyj1@lsu.edu,8228-7496-1,27465400,750589
dmchardyla@lsu.edu,8228-7496-1,47015479,846306
ssorleyn9@lsu.edu,8228-7496-1,66312401,293951
cjacobowiczp9@lsu.edu,8228-7496-1,35827652,815915
kwhiley1h@nymag.com,8228-7496-1,17366731,451957
echristofides8n@lsu.edu,8228-7496-1,31276086,115650
ewithers9j@lsu.edu,8228-7496-1,36266345,661519
