Bidder_Email,Seller_Email,Date,Rating,Rating_Desc
rkorneev47@lsu.edu,ndutchburnel@lsu.edu,6/11/21,2,Bad
tkorting48@lsu.edu,wlaurancegt@lsu.edu,10/7/21,3,Not Bad
rwomack49@lsu.edu,wlaurancegt@lsu.edu,3/8/21,2,Bad
atythacott4a@lsu.edu,wlaurancegt@lsu.edu,4/20/21,3,Not Bad
anassau4p@lsu.edu,rpointn@globo.com,8/31/21,3,Not Bad
agoly4g@lsu.edu,wspadelli8j@lsu.edu,12/22/21,4,Awesome
cthumann4h@lsu.edu,wspadelli8j@lsu.edu,9/15/21,4,Awesome
rmcwhin4i@lsu.edu,gdowtry4j@lsu.edu,7/5/21,5,Awesome
gdowtry4j@lsu.edu,clelievre1q@spiegel.de,7/22/21,2,Bad
tinch4k@lsu.edu,jspraggon8f@lsu.edu,3/29/21,3,Not Bad
jthwaite4l@lsu.edu,jkasman1i@histats.com,4/14/21,5,Awesome
